Text,Sentiment (POS/NEG/NEU)
ye drama dekhna kbi,neu
Saheee baat hai hum jeisa koi nahi . 3rd class boriyat dene mein.,neg
"Pakistanio ka Allah he hafiz hy, ik channel k name ko like ker rhy hyn, or koi kaam raha nhi hmari quom ko",neu
Azadi ka din mubarik ho.,pos
"Yeh watan humara hai , is ko hum ne hi saf rakhna hai,",neu
muje daramen banany ka shuk hai lekin main ja nahi sakta,neu
HUM Tv India mei kyo nhi aata ????,neu
Mujy koi khas frq ni lg rha,neu
Jago Pakistan program ka reptng time kia h,neu
aj k program KB RPT HP ga tell me,neu
Ye blck nd wite q ki hy pic????,neu
Such me ab to hum or ap e sath reh gae baqi to koi rha nhi ,neu
ap logo ne muje bhoot samaj lia tha kia?,neu
aj show q nhe chal jago pakistan jago.,neu
Hum ki bat pasnd indian program nh deti apne deti h,pos
Eid pa apni Pakistani film lagn ka bja Indian film or show lag dia,neg
kay humire apni film or show nhi ha,neu
ap ki nashriat saf kun nahi ati h,neu
kiya hoga is se,neu
Koi kuch bolta q nai,neu
Page asli b h ya ni,neu
Afsos k itna bra channel aur ramzan ke transmission he koi nhi,neg
Acha he par ramadan transmission hona chahiya tha.,neu
man buhut miss kar rahi hon hum tv ki trans mishion ko,neu
ramzan mubarak ho ap ki pori team ko,neu
aalah taala hamara mul ko apni hifzo aman main rakhay aamen,pos
Ap ne kha hum ne sun leya,neu
Lo g hum bhe khte hn khair Mubarak,pos
bus inhoo ma 1 problem ha k ya boht zyada break dety hain,neg
iss channel k dramas ki stories boht axi Hoti ha,pos
Ap hum tv ka konsa serial dakhten ha,neu
Ye kia August khtm ho gya profile pix change kr di...???,neu
ALLAH hmare pakistan ko salamt rkhe hmesha ameen.,pos
Lo b Pakistanion ki to tyarian shuru ho gain,neu
Murda dill logon kuch sikho Pakistan se... Sikho..,neu
May bohat like karta ho ap ka channel,pos
mukammal teem ko bhi eid ki khushya mubark,pos
Hum ki koi post show nhi hoti qun ...,neu
price b sat mention kia kary,neu
Ap k pic ly kr log fraud kr rahe hain,neu
Jb lene jaen ge to ho ga hi nae out of stock ho chuka ho ga as usual,neg
Jee bilkul saba mere sath bhe fraud ho choka ha,neg
Bola ek dresse lo ek free,neu
",mjh cheez ek dekhae gae ,di dosrri gae ,aisi cheezen di gae jo faqeer bhi na pahne",neg
hamare sth b yehi hua h 5000 le kr gareebo jse suit diye hn,neg
unko report kardo plzz,neu
ye rehte thy hme kharab krne k liye,neg
1 lack ka hoga,neu
Agha noor par koi sale chal rahi ha?,neu
Ake page ha wo agha noor ka nam use kar raha aur dress bi in ka dikha raha,neu
1 suite ki price 2999 offer kar raha i think they are fake.,neg
Ji mai ny b daikha ay fb pr fake ay stupid iny koi pochna wala ni,neg
I like it merry liye le lo,neu
jee samjho lay lya or tum ko bhaij b dye,neu
itni smjhdar nai Hun mein,neu
lol tabhi to aisay comments ker rahi ho,neu
8000 wala ha kya es m,neu
bus ye chahye ab tou,neu
"o last year 5000 ki range m thy wo sb 18000,20000 k kr diye ha",neu
"copycat ,ye khadi ka design hay",neg
stff kon sa ha.,neu
Ap k store pe jao to khuc milta n hy online kya khak milna,neg
tum ni thaki online shopping se,neu
pta chly to 2 ly lena,neu
abe bhol gain kiaaa?,neu
ye to web p nhi h,neu
muft ap k liyay,neu
ye khan s milay ge,neu
Jab hum giga jatay hain to yay sab nahi hotaa,neu
ye gift KR Dy mjhy,neu
Yeh theak lgrhi hai? Yehi bnwaya tha same mene,neu
Mera is se acha lgrha hai,pos
Ye jst shirt ha kia....dupattA?,neu
Tum ne kia krna hai..,neu
mjhe ek acha suit chahye...shadi k lye,neu
Tm pasand kro jo acha lagy lelo..,neu
ahan to sare ache lag rahe hn...pr jab aenge to..,pos
AP k out let Multan men h??,neu
sir wasy hi acha laga,neu
Peshawar PC ma app ka exhibition ma Chand design ka shirts tha .ya Post Wala khapray app sirf Karachi ma rakhta hai.,neu
Jo page PE mention hoty designs vo outlets men available hi nhi hotay,neg
Dolmen mall tariq road pa ap ka outlet Har konsa floor par,neu
mujhe purple wala online nai nazr arha hy,neg
Out let pae b ye rakh lia karen,neu
lgta hai Agha noor ka designer n models dono bhaag gaye hain,neu
Ye identical nahi hehe. Ye thora different hai,neu
sub se left waali ko dekho,neu
Miss hogaya jana pata hi nai tha,neu
Kiya order p milty hean kiya price ha,neu
yh b achy lg rhy,pos
Kb aegi yeh collection ??,neu
pink wala acha hy,pos
price ka idea ha chachi... online tu nai ha site pa ye dress,neu
ekh k btati hon hogi wrna poch ly gy,neu
mje lag raha ha expancive hu ga,neu
itne ma ap bridal he le len bhai,neu
colors tu Baji ki shadi wale time k hein,neu
Online milein gy ya outlet per or kub?,neu
karachi nikalte hain,neu
nayab ko bhi lai ana main lahore he hon yahi sai airport,neu
private jet pe jana wapis aien tu hi ja sakte,neu
ye bht acha collection aya hai,pos
online show hi nhi hu ra Instagram pr b,neg
Mujhai bhi agha noor bohat pasand hai bus nae chaltai Sarai lai loon,pos
filhal Karachi Lahore patta nahi kab Ana hai.,neu
Bs b krdo coming soon. Ab to thak gay hain ye pic daikh daikh k 3 month s,neg
Ya coming soon kab khatam ho ga,neu
Ye kb launch ho ga plz,neu
kbhi sale bhi de diya kren online,neu
Ya sab tu theek hy,pos
Rukhi sookhi celebration jeyea hum ni bat krty ap sy,neg
Ye sirf shirts hn ya complete suit,neu
Acha nahi laga,neg
sale bhi to lgti ha kb lge gi,neu
Pant bhi sath men banwalen please,neu
Nice lag raha hai,pos
yar leti b hu bt Kuch Acha lgy to,neu
Price hi pochti k lyti b hn,neu
Sari facilities or outstanding kurties style sirf london walo ka lia hota Pakistan walo ka lia nahi ..,neg
Her shirt pe lekha he Out of stock...ya kia mazaq he...fazol mn online start kia he...(tum se na ho paiy ga,neg
in shaa Allah zaroor Ager gye tw,pos
OMG tooooo gud yaaaar ye to zbrdst hain.,pos
ye dekho velvet ke shirts... jab ham nay lay lee tou unko yaad aa gaya,neu
Agr sb kch out of stock hta ha to uski website ya fb pe pics dny ki kya zrort ha,neg
Koi or dezine hn in ma,neu
Blu wala fit h naa,pos
Online ap ki valvet collection show nahee ho rahee,neg
man na ak dress lya ha last weak but us time ya nhe tha,neu
Mujy kounsi pori aygi...,neu
chlo tm lahore ka tour karo,neu
Mein pahly he dakh chuka hu.,neu
mujhy lga kaho gy ly bho chuky ho,neu
han yr main kal sy isy e daikh rae,neu
London ki sale Pakistan ma lagai ap na?,neu
Jb hm agha noor ke kese b store p chaly jai waha y sb shrts to hoti he nai h,neg
mjhy yh peach wala lena,neu
Online order kro to milta hi nai phone b nai uthate,neg
Agha noor Gujranwala mai bi branch honi chahiy,neu
Chlo phr London chalain,neu
London waly enjoy karn or jis zamin k.padawar han wwoh roti hi rahy,neg
Pak main b sale hy ?,neu
apk ilakay main b sale agha noor py,neu
Bhen london me lagi a,neu
aray london walo ko kya zaroorat ha 25% ki,neu
Yahan double price hai tu zaroort tu hai,neu
kb sale hai ko si date ko,neu
Mujy b jana hai,neu
ab kahan sy aoo yaara,neu
sale london mei hai beta,neu
Rukhoo dhodti ho Kidher hy yahan,neu
bas kal jati hun,neu
Lai ayo mere leye,neu
bs kr larki bs krr,neu
black reh gaya hai abhi,neu
black koi b naeeee mere paas,neg
ye door hai thorha,neu
mujhe pasand nahi yar agha noor yaar.,neg
bohat ziada bhari hui shirts hoti hen,neu
Aur tissue type kaprha usually hota hai.,neu
bilkul bhi pasand nahi mujhe.,neg
Khaadi aur Ethnic waghaira k pasand hen mujhe.,pos
bohat expensive hain per fabric and designs Aalaa....,neu
aaj waseem nay mjhay ethnic ki hi aik shirt gift ki hay... pehan k dikahongi,neu
na karen itnay khoobsurat kapray hayn agha noor k sab se alag,pos
nahi pasand yaar mujhe....,neg
meri friend ne wo top Ethnic ka hee pehna hua hai Pix me.... bohat decent,pos
plz koi Bata dya k agha noor k brand Islamabad ma Khan hn??,neu
Iski length btaa de plz,neu
Ab hoga qayamat ka sama,neg
Api ap ko yahan se bhaijh daitay hain,neu
ap ko abhi bhi aur kapray chaiyay hain. Waisay ap ka nahin banta yeh sawal karna,neu
joo hukum app kaa,neu
London walay bhi sale ka wait krty hain sirf hum ni,neu
Yahn q nahi lagti bhayee,neu
Karachi walon ne Kya bigara h,neu
Yaha bhi Lagti h,neu
Pakistan m lgaty ni sale,neg
Waha jesy zada aziz bythy hn ink,neu
Sale main b itna exp hona hai na k bas,neg
jo lerkiyan sell Kerti hein woh loot rahi hein,neg
zahir hai wo ladies khwari ker ke lines me lagti hun gi purchase kerne ke lie,neu
wo agey phir apna profit rakh ke sell kerti,neu
Lo bhai mujhey laga lo line mein phir but profit chore do,neu
phir say ho aao,neu
Nahi nahi or nahi kitni wrong timing thi mri.,neg
Waqi main bhe yehe soch rahi thee,neu
Han Khaadi waley bhi kehtey last week sale khatam ki hay.,neu
Pak mai b sale lga dain kbi,neu
Ma yh kurta online order krna chahti hun,neu
Subha subha mazak achay karti ho.,pos
Wese hen yeh mere ghar k pass he.,neu
ni bnda kbi gift hi day deta hai,neu
jhoota khanay se b barhti he. Me adha pizza kha k tumhe aur usman ko bhej doonga,neu
Tabdeeli aa ni rahi. Aaaa gai hen,neu
ft day k tabdeeli ka saboot do,neu
abb aii he thori si,neu
stratford bohat dor hain meray ghar say.,neg
Online hota to mangwa layty,neu
Us main kch bachay ga to khareedoon gi na,neu
Ho bhi gai ajj tu 8 hai na,neu
Lo ye to mne dkha he ni,neu
Meray liye bhi lalana,neu
mai gai thi kuch khas the tah,neu
Jab good stuff ja chuka tah,neg
acha sale main asa he karty hain yeh loog,neu
Sara purana stock,neg
Ji han ap ne jitni kurtian pakistan se li hein to yahan purana hi lage ga na,neu
Saba mere hatho zaya hu jana AP na,neg
Yar bus pocha hi hai,neu
Ni pata bata da ap,neu
Nai pochti price yar maf kur do,neu
Tum nhi badlo gay,neu
deliver ho ja ga,neu
Tere pas paise to ha nahi. Kahan se le ge. Awain price poch rahi hai,neg
Messege p koi respond nh krta,neg
Farigh hai,neg
Khamosh ho gay,neu
Eid kay lye lana ha,neu
Ge nahi zaberdest ha,pos
Nahi ye ho nahi sakta...,neg
Front wali shirt available ha extra large main?,neu
Bibi tu sara kuch buy kr k hi haata gi,neu
mujhe ye right wala gft krdo,neu
Aisa kro dono lelo ek mujhe dena or ek khud Lena,neu
Acha to phir order krun ?,neu
Hydrebad my koi out let h apka to kindly btay,neu
main aksar jo b artical ki pic ja k dekhati hn they its sold out,neg
yeh lay lo,neu
Ok. Abhi jaon ya Subah ka intezar ker loon ?,neu
Abi hu jata tu acha tha waisy,neu
Yeh bhi ab mein bataon,neu
Wese suit acha hai..,neu
Bhai bht acha hy ,pos
sarwat ny store sy leny nae dia,neu
Karo karo.. top suit hai. Sarwat ki aisi ki tesi..,neu
ya tu bht old hai,neg
Mene inbox kya h,neu
Celebration to ho gai ... mubarakan bi ho gai,pos
please bata dw ke Lahore mein sale kab hai,neu
Inbox krne ko kaha h unhu ne,neu
Congeactulations aga Noor apko apni anniversary py discount Dena chahye taky aplog din raat taraqi kary,pos
bhai ko b pasand h agha noor,pos
Kuch nhe milny wla ja kamm kr apna moti,neg
agha noor walo ny parha ho na ho mra comment,neu
.tu ny parh lya fariq log,neg
Ye kutey k bachey kabhi announce ni karenge winners inka page report karwana ha in manhoos agha noor walon ka,neg
Congrats agha noor happy brthday allha pak din dogni rat chogni trai day ameen,pos
Yar ap log kub announce karenge birthday wishes k winners,neu
Yar ap log kub announce karenge birthday wishes k winners,neu
Ap na birthday pa sale lagane ki bajaye rate ziada Kar dye han,neg
eid ki new collection kab aaye gi.,neu
ye agha noor london b pohanch gya,neu
wese abhi kafi stock para hy meri wardrobe mai,neu
Agha noor ki koi new colection agr ksi n shop ki h to plz share,neu
dr islmbad ma bi sale laga Dy black Friday ma plzzz,neu
Acha hua hum nahi gae.,neg
ap ne theek kaha tha.,pos
tum bhi gayi thi,neu
Nh mera dimag kharab nh ha,neu
Bus ap toh koi mouqa mat choryega,neu
sale se leya kya ye tu batao,neu
Lahore mei to kabhi ni lagyi flat 50% sale,neg
hum b apni biwi ya maa ko gift kr k khush kr sakyn,neu
Kya ab Lahore main nai lgay gi sale 50 % off wali,neu
Kyu bhai aghanoor abaya ali khawteen kyu nahi pahan sakti,neu
zarori nahi acha brand sirf bay parda aurat hi pahny,neu
har cheez ka haq sub ko hai lakin apni haad mai,pos
yahan tak kisi kay mutaliq comments bhi apni haad mai rah kar dainy cahian,neu
yaar kon log hen ye kaha se aey hen jo hr sale me dhama chokri machany pohch jaty hn,neg
Sach me yar mental log kg rhy hen,neg
.koi thora sa b izzat dar insan esi sale mn jana pasand nhi krta,neg
Plz hyd m bhi ap branch kholi,neu
Pata nahi humain agha noor ki shirt kab mile gi,neu
Nahi yar normally bhi.jab bhi jao faltoo stock hota hai.,neg
achi wali sirf insta p nazar aati hn,pos
Astagfirullah I think jo hum pehn ke jaenge wo b phat e jate,neg
Akhir ye kon c aurten hain bilkul farigh hain had hogae,neg
heck jasy free mai mil rhy dress lolz,neu
ISL waloon ko b thnku khnay ka mooqa dain,neu
Keenu wallet se 40% cash back kabse start horha hai agha noor pe?,neu
aj jana a,neu
mere liye b kuch le k rkhlo,neu
Yr mein ase he leke rakh lungi apke liye,neu
nai bhabhi main aisi sale mai nai jati,neu
ap ayengi tou hum leke jaenge apko khud apki willing dekhenge kitni ha Kia lasakti Hain ap,neu
yr hum apke liay wese hi lelenge,neu
yahan tu chle jana 2-3 kurtiyan lelena mre lie bh,neu
Bhaiii ham rush k dar sai nai jatayy...,neg
boht himmat chahiyee sale Mai janay ki,neu
18 ko to lucky one gya.. ek trf sana safinaz nd ab agha noor,neu
pari ruk ja.. tu ne ghr pr rhna hai,neu
Pta chla tu wapis hi nai ai.. antion ne kuchal dia tmhen,neg
Kuch tu aisi terms n conditions apply honi chiya jo koi shareef insan bhi kuch purchase kr sakhy,neu
Bilkul sahi kaha,pos
Exactly humaray bhi kuch arman hai tameez se kuch shopping karain,neu
sareefon ke leye sale thuri laghti hai,neg
Realy kese purchase karain,neu
Peshawar mein bhi kappray pehannay ka revaaj sadyoon say chala aa raha hai..,neu
wahaan bhi aik outlet khol lain gay tu adam ki nasal per ahsaan-e-azeem ho gaa....shukriya,neu
Pta nhi kon khush naseeb hoty hain jinko suit mil jty hn sale say,neu
Bas jab hum yahan hotay hai tabhi yea hota,neu
hum yehan reh k bhi nahi pohanchte,neu
phoncho phir luckyone mall,neu
pr hum Shareef Log Andr Ghus Nahi Skte,neg
aby ye humko milky pagal banary,neg
Ajao sab mil k dhakae khaye,neg
me akeli he q dukhi hoon,neu
g mai ye bhe dekh chuki hon,neu
"agay bta bhe chuki hon.. phr bhe dil dukhta hai, jalta hai",neg
kash mai or ap vahan hotay!! lut parade machni the,neu
"wam ko pagal bana na bund karden,",neg
aurten aisi hojaten hain jaisay kabhi naseeb he na hoa hai kuch,neg
tab bhi kuch behter rahay ga,pos
yahann tu ik hi lady 25 or 30 shirts lay jati ha,neg
Mall jis area mein hy or waha ki gentry ...no manners tamasha bnwanay ka brands ko kio shoq hy,neg
atleast mai to nahe jati aesi sales per.....,neg
baqi ka mai kuch nahe keh saktii,neu
Online buying ka system nai hainagha noor pe.ek or pagal pan,neg
Hum se na ho paweye ga,neg
Behn kon jaye itni bheer ma,neg
Ab to lagta ha aik do pillars bhi log tor denge lucky one ke,neg
ahle mere liay ak tunnel bnao q k 15 minute ka rasta h do ghnty lag jaty hn,neg
sana safinaz b p bhi h flat 7o,neu
Ajao sath chaltey,neu
Yr rushhh bhtt hota hai,neg
kal to phir confirm hum lucky nahi jasaktay.,neg
Bht hi tamasha lagaya hua hai in logo nay,neg
sale karni toh online karo takay atleast tamasha toh na banainn yeh bdtmeez aurtain,neg
Not fair Lahore ma kb ho ge sale woh be 50 percent,neg
Isbar chaltay hain,neu
irfan ke taraf se gft lelengay,neu
phr tou mil gae humko,neu
Bus shart yeh hai k irfan ander jaker lekar aye,neu
Plz Lahore mein bhi Karo na 50% sale n plz,neu
Behen aap sasti charas ka Nasha karti hain kia,neg
abi krti hun......,neu
Maryam ap tension na lain mere pass Peshawar k lie stock hai apko chaie,neu
yeh flagships store ki grand opening yahan kiu nae hoti,neg
Ap Jain na,neu
Nahi tere Sath jao ge zeada se pase lana,neu
Chul bhag..,neg
Tubaa hai asi sale k lariya hogi,neg
guard ne larki ko kitna misbehaviour kiya sharam ani chayeh ap log ko,neg
Ufff kaisay jaye inn jahil ladiez kay beech mai,neg
hum tuo bus dekh kay hi darr gaye,neg
shukr kro hm nae gaye warna kia hal hota,neu
Yeh to cheating ha,neg
ahan nayi shop khulti flat disscount bus wahan e kyu milta.. baqi sub kya munh dykhyn,neg
khi hai....lucky one mall mai buhat sales on hain.,neu
Ye sari online seller hti Hy .,neu
pagalo ki tarha Chen kr lot mar kr suit liye gi 2000 ka or 5000 k sale karye gi,neg
pta nhi kun bewaqof Hai Jo online aurto see lity Hai,neg
un logo Ni ye haal Kya Hai. Hum jaisay Shareef log nhi li skty hai,neg
Kch ladies ase ate h k bs khte h pora rack hmra h,neg
dkne b nhe dge,neg
ghtya n nechepan p utar ate h,neg
allah hidyat de sale k peche apne tarbiat btate h,neu
yahan Jo hone Wala hai us ki missal history main nahi miley GI...,neu
Plz outlets k bajaye online sale rahk liya karen tu hum jese log b kch le saken,neu
Outlets b ja kar fighting nai kar sakty,neg
lahore waly sale na sahi wresling dekh k enjoy kr lain gy,neu
Bas ab khaadi k baad yahan pr bhookon ki tarah sab aurton ne jana hai...,neg
Matlab ab sari badtehzeebi agha noor pe hogi,neg
ap logon ko sari outlets pe aiksath sale start krni chahye,neu
dil jala k rakh krdege ye log,neg
ya sb ko kya ho gya karachi walo par etne nawazshain,neu
Yeh mall new bna hai shyd,neu
Aur kch nai reh gaya ab,neu
sab achi sales,pos
Ye chali bhi jae gi,neu
Haan andaaza hai mujhe,neu
is bar jana hai haa..,neu
lee to jaye pehle,neu
males ko bhksh den ap log khub durgat bnti h,neg
jang kon laryga,neu
Kia yhan s hm online sale sa fyda utha skty h k nhi,neu
jana boliye ga nhi yahan bhi,neu
fajr se jaa k beth jaunga lucky one k bahr,neu
Mujhe bhi kuch mungwana ha zra,neu
kahan se agha noor ya kaheen aur se,neu
ap to jaien g hi na,neu
koi saath jaanay wala ho bs,neu
Ap akele jaien na ksi ko sth lay gay to masla ho ga na ap k liye,neu
karachi ka scene bna len ap phr,neu
To ne kuch lena ha,neu
Agr kuch acha hua tau lay laina,neu
OK agar mila to summer ki sall ho ga,neu
phir rat kaleeee kareyn,neg
waise maza aya tha,pos
Wapas zinda ana,neu
Xhalo bhei jahil awam tayyar hojao ab phir say,neg
Tm bht sai time py khi ari ho,neu
Yaad na krao mjay,neu
mojein lg gae apki to..,pos
ZALALAAAAAAT wali saleess,neg
abh kia karun,neu
tabahi machne wali hai,neg
Buhut buri waaali,neg
Mera b khayal kerna,neu
another wehashi mela,neu
mere liye bhi le àna,neu
mtlb kya luckyone na ho gya tamasha ho gya,neg
phr saari aunties Pagal hojaen gi,neg
Adhi to gate pe pohnch gai hon g,neu
Is sale mai wahan jana kisi jahad say kam nahi hoga,neu
Islmbad ma bi lagy gi sale,neu
Sana safinaz per 60flat chal raha abi,neu
Unstitched mein achi variety ha,pos
No wayyyy koi himmat nahi,neg
Kpk mai Imran khan outlet open kare ga,neu
Reseller auntie's ny Kal phr tamasha dalna hai,neg
lhr me b hone chahiye,neu
8th ko hy sale lucky one mn?,neu
Agha noor kaya ye sale online bhi hai,neu
Y sale 50 off online b h kia online shoping kr skte hn kia plz reply fast,neu
Sana safinaz aur agha noor Logon ko ab larwayenge,neg
Kitny ka hoga off ph,neu
Lucky mall ko bakhsh do,neu
Lhr sale lage hy,neu
vohi pagal pan hoga jo khaadi main hoa tha,neg
yaar ab Chalo.,neu
Had hogai ab to,neu
khaadi k baad Agha Noor ka bycott,neg
kitne din tk hy sail ya bs 1 day thi?,neu
Subha 9 bje,neu
sialkot main kab hoga,neu
ye store kis city me ha,neu
Darwazay tootne wale hain bs,neg
chalo chaltay hain..koi mushkil bt nai hai,neu
sania k through mngwa dn,neu
meray liay kuch Lelo,neu
Main to kabhi na jaoon.pagal horahe hote hain loag wahan,neg
ek baar try to karo,neu
Tum saath chalo,neu
soch rahi hn thory dhakky khany chali he jati hn kal,neu
betho ghar me dono me jao gi,neu
Main badtamezi p aye to u knw na..,neu
Main badtamezi p aye to u knw na..,neg
ticket katao line banao,neu
comments Bui prh leti tag krnay sy phlay,neu
i think karachi mai aisa nhi hoga.,neu
.karachi k log itny brand concious nhi hain.,neg
na he sale pee toot.ty dekha h unko,neu
Wah kia khnay apkay gayan k,pos
Best way is that jany se phly fb khol k ink page pe surat haal check.kr lain,neu
Sialkot ma flat q nai tha hmmm hum sootalay ha,neg
ab to sale ka sun ke khushi bhe nhn hoti,neg
Kia pair rakhne ki jaga mile gi,neu
Humny kia tha apk sth ek chota sa mazaq,neg
Tu karde mujhe block kia hy,neu
apko kitne ka araha hy,neu
Mery pas add thori hyjo tag hoga,neu
Blue nae ferozi hy,neu
tu ja rahi hai,neu
Yaaaar hadh ka rush hogaa,neg
"Haan agha noor favorite, saari moti auntiyon k neeche ajaaogi",neg
Yar bht hi mushkil kaam ha,neg
Lucky mall ha b to bht dooor,neu
Ghoso gay kaisay??? Khaadi opening ka scene dekha tha?,neu
meray liyah lay aain gi,neu
bilkul hum jaengy toh zarur le aengy,neu
boht himmat hay bhai,pos
koie Sath jany ky liay tyar he nhi,neg
Na kr mene a bhe jana he,neu
Wo to ab Ana hi ha,neu
bhut aqal mand ho gai ho,neu
ik kam karo abhi mery ghr ajao,neu
fajar k baad beth jaingy wahan ja ker tou shaid mil jai,neu
Fajr m kholaingy nhi.hum gate p hongy,neu
Fajr may hmaray lia khlen gay?,neu
yaad aya kuch,neu
Dil k armaan ansu main behh gayee,neg
Main to kabhi na jaon sale pe ab...,neg
Wo b agha Noor ki,neu
kbhi full price ma b kch lelia karo,neu
faida kyn na uthaien,neu
zillat k agha noor ,neg
izzat ka Gul ahmed,pos
ek or drama,neu
Aga noor ke liye kuch bhii,pos
sorry mri tarf sy,pos
tni jaldi har maan li,neg
Khali hath wapis hi ana hai hum ne.,neg
Izzat se without sale mai purchase karlenge,pos
hmary lye ye he sahi hai sale humary lye nahi hoti,neg
iska matlb tum already dhakky kah ae ho,neu
Behn dhaky nahi pary humy allah ka shukar,pos
hum kisi ko dhaka dy nahi sakty is lye jany ka koi faida nahi,neg
Bilkul bhe nahi.... Khaadi ki videos nahi dekhi kiya?,neu
Waisa hi haal ho ga yahan per bhe,neu
"sahi keh rahi ho, phir tum 3:30 am tuk shopping krti rehna agha noor per",neu
Ab Bs yehi kaam reh gaya hai,neu
phr new video ayegi aurton k selab ki.,neu
shamaim samjh gai k maine islye tag kia tha,neu
Chalo aik bar sab sath chalty hain masti karnay,neu
Kal he chalo,neu
Behan sirf khoen gy nhi behosh b hn gy sath,neg
Han yar waqai kal chaltay hai chalo sb sath,neu
kaun jain milna kuch nahe,neg
mei bhi isi tarah hi hansi,pos
Jina lotna tha lotliya tha us din,neg
Awam pagal hojayegi,neg
sachii touba hai aisi sale sy,neg
insan sale k bagair hi lay lay,neg
Sana sufinaz p flat 70% off hai,neu
Ap log mere liye achi si kurti le ana,neu
Yar ab karachi chlay jtay hain,neu
Touba touba..kuto wala hal hota h,neg
Hamari nani c Jan hai . humara flat 50 main Kiya kaam,neg
Mai ja rhi hu lucky one kal..aur 11 PM pe wapas aongi,neu
Subha chal rhi tou chalo.,neu
"Suno tmhe kal bht sara kaam hai..tou apne ""kaam se kaam rkho""",neu
Suno mene aj he kaam krlya hae sara okay,pos
Tou kal b kaam hi karna hai,neu
Ap kro kaam. Aur bnao kuch,neu
Nahi koi event nahi hae.,neg
bhoooki.. laalchi..dhoKeybaaz..farebi..nautankii,neg
Maska lagana koi tmse seekhey,neu
Allah bchae sale se,neg
Ab kya faida,neu
Shopping kr li is ne ab Kya faida,neu
Han agha noor k dresses mngva lie ami se is ne ab kia faida,neu
Lukcy One me harr cheez pe sale lagri hai ajao foran,pos
Tabahii machi hogi aaj,neg
kahin to hum b jayen,neu
Lo jee. Har week ka tamasha hogaya hai. Road block ho jata hai mera,neg
Na kro yaar jayega kOn,neg
Mujhmain himat nahi doors tor k ander jane ki,neg
Yar flat 50 p na gulshan chowrangi taq log hoge,neu
Aam publc to nai hge bechne wle hge,neg
Astaghfirullah Allah bachaay aisi sale say,neg
Faida nae hai boht rush tha,neg
Phir sa tu idr nai ha,neg
Aur yeh lucky mall mein hai,neu
Choro bhei kon jaega itne rush me,neg
Chalna hai kia,neu
is bar ma bhi boxing gloves phen k jump laga dongi don't worry tumhara birthday gift bhi to due hai mujh pa,neu
Mere liye b pakar lena frcok style walay aur achay achay colors k small and medium,neu
Tum jaldi ki flight pakar k aajao bus,neu
pata hai jani,neu
Tujhy islye mention kya,neu
Tujhy to ek dhakka lagayga ga to tu ghar pohnch jayegi,neg
himat nhi hai,neg
Behn wahi reh lete hai jaa k,neu
Gae tou zror le aongi,pos
Phr le aow mri ek kurti,neu
"Kia krooo,,, q tag krti ho",neu
Dirham bhj do bus baqi hum kr lain gye tum kuch na krna,neu
yahan to dinars hotay hain,neu
Yh kise bhi blue whale challenge sy kam nae,neu
gift de rhe humein,pos
Han thek hai tmlog ley au meri taraf se,neu
Apka naam lele hum,neu
k naam per crdt card se paise nikal len aap hum 10 ya 12 shirts le ate hai phir,neu
Han han q nhi tmlogo se burhke hai kia,neu
itna bara dil hai apka,pos
Wo abhi tmhe pta hi kaha hai,neu
han haina hum se bardh kar bhi,neu
Kareb hai chli jana try kr acha ho kch to hmarey lye b uthalena,neu
Jitna pata hai kaafi hai,neu
Niklo waha se aur yahan ao lucky one,neu
sath mai bhi ajati hu,neu
chl try krti hu agar nikal ski to msg krti hu phr,neu
teri meri treat hogay,neu
aisi bat nhi hai yar mai kch aur kam se nikli hui thi tum jaker try to krti,neu
Try kyn karni hai pasand agaee hai ab aap k ane ki dair hai ye bhi kaam hai,neu
Haseeb ajaye phr mai ati hu,neu
bahen kb kaam aengi ye hoti hi isi liye hai,neu
Allah mian sab ko aql e saleem ata farmaye,pos
Kash yeh log khud ghar pohncha dyte,neu
me phone krdungi agha ko. phnch jayengay tumharay ghar. don’t worry,neu
Bus theek hai,neu
kuch nahi mila line may khardhey khardhey wapis,neg
Matlub kal sana safinaz aur agha noor tabah hone wale hain,neg
"Sochna bhi mat , janay Kay baray may !",neu
Rush m ni jana yr,neu
Mai shayd shaheed hojaoongi,neu
Apna apna budget batadain sab..,neu
Main bhi line main hoon,neu
Hum jayengy na tou es dafa rush wali pic mai hum bhe hongy,neu
Khaadi wala haal hoga....jo kapre behney hue honge woh bhi phat jayen ge,neg
lgta hai bank sy loan lna pry gaa,neu
"Kal bht se sale hn lucky one pr,sana safinaz pr b flat 70%",pos
ap aye ga hum apku bhejain gy,neu
Mei muqaabla krke le hi aungi kuch na kuch jaahil orton k beech se,neg
Idher saree boutique wali ladies shopper bhr bhr ky lejatee hn kisee r k liye kuch nh bachta,neg
Mall of sialkot men hai na...wahan pr jao.. 1st floor pr shayad..,neu
agha noor waly apko bhwt miss karin gy,neu
mere lya b kuch le leana,neu
koi discipline nai tha boht bura haal tha ladies ka,neg
Agr ap log sale lgaty hn to kindly koi discipline hona chahiy,neu
Meri advice h sale py ja k time waste krny or khud ko thakany k ilawa kuch hasil ni ho ga,neg
Koi wajib aur farz nahee hai,neu
isi liye Nahi jaatay sales Pr,neg
Kitna afsoos hai aap ko,neg
Kuch milay to jayain bhi.,neu
loot machi hoti hai kuch bhi haath nahin lag,neg
